================================================================================================================================
  X4 FORESIGHT v2 — COMPLETED STATION TRADES (with categorization)
================================================================================================================================
  1,303 commercial trades   proven=821  inferred=160  unknown=322
  by method: courier=821  unresolved=322  sector=76  delivery=59  visit=25
  (also 769 internal transfers, not shown here)

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  GX HQ  ·  576 trades   [v] 437   [~] 53   [?] 86
  ────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Time    Ship                        Dir Ware               Units     Cr/u       Total  Counterparty                            Source
  15h 55m VIG Barbarossa [QDO-095]    Out Hull Parts           588   183.60     107,957  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  15h 55m ARG Mercury Sentinel [FBT-  Out Energy Cells       9,840    15.34     150,946  —                                       [?] unknown
  15h 55m EIY-744                     Out Refined Metals        88   207.00      18,216  ARG Hull Part Factory VI (QWU-139)      [v] proven (courier)
  16h 07m ARG Mercury Vanguard [HCH-  Out Refined Metals       264   134.52      35,513  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  16h 08m ANT Callisto Sentinel [EOF  Out Energy Cells       1,236    15.73      19,442  —                                       [?] unknown
  16h 15m EIY-744                     Out Graphene             410   165.65      67,916  ANT Quantum Tube Factory I (GFZ-735)    [v] proven (courier)
  16h 15m ANT Ides Sentinel [IUQ-888  Out Energy Cells       8,873    14.95     132,651  —                                       [?] unknown
  16h 18m ARG Mercury Vanguard [EAM-  Out Refined Metals       320   130.12      41,638  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  16h 21m AOL-503                     Out Refined Metals       160   191.91      30,706  ANT Hull Part Factory I (HIN-266)       [v] proven (courier)
  16h 23m ANT Mercury Sentinel [LNW-  Out Energy Cells       1,750    15.88      27,790  —                                       [?] unknown
  16h 29m EIY-744                     Out Graphene             410   173.61      71,180  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  16h 32m NDX-352                     Out Hull Parts           500   200.34     100,170  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  16h 45m PIO Baldric [MGA-698]       Out Energy Cells      10,700    16.15     172,805  —                                       [?] unknown
  16h 45m EIY-744                     Out Refined Metals       160   207.00      33,120  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  16h 47m ANT Mercury Sentinel [BBG-  Out Energy Cells       3,476    15.60      54,226  —                                       [?] unknown
  16h 51m [0x51019]                   Out Hull Parts            88   272.00      23,936  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  16h 53m AOL-503                     Out Refined Metals       408   207.00      84,456  ARG Hull Part Factory I (QHB-659)       [v] proven (courier)
  17h 02m ARG Mercury Vanguard [GJU-  Out Hull Parts           588   183.60     107,957  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  17h 04m EIY-744                     Out Graphene             410   179.73      73,689  TEL Hull Part Factory I (AKM-356)       [v] proven (courier)
  17h 16m AOL-503                     Out Graphene             604   179.16     108,213  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  17h 19m EIY-744                     Out Hull Parts           588   189.10     111,191  TEL (MTO-545)                           [v] proven (courier)
  17h 24m ANT Ides Sentinel [GEH-453  Out Energy Cells       7,343    15.66     114,991  —                                       [?] unknown
  17h 36m ARG Mercury Vanguard [HCH-  Out Refined Metals       248   135.79      33,676  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  17h 36m EIY-744                     Out Energy Cells       2,800    17.06      47,768  TEL Nostrop Oil Factory II (AML-461)    [v] proven (courier)
  17h 41m AOL-503                     Out Hull Parts           588   186.04     109,392  MIN Teladi Wharf (PXO-913)              [v] proven (courier)
  17h 52m ARG Mercury Vanguard [HCH-  Out Refined Metals       496   117.04      58,052  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  17h 54m EIY-744                     Out Graphene              82   157.26      12,895  ARG Quantum Tube Factory I (VAP-756)    [v] proven (courier)
  18h 04m UEK-696                     Out Refined Metals       248   135.79      33,676  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  18h 06m EIY-744                     Out Energy Cells         800    16.47      13,176  ARG Microchip Factory I (SYL-983)       [v] proven (courier)
  18h 10m AOL-503                     Out Graphene             604   169.64     102,463  ANT Quantum Tube Factory I (GFZ-735)    [v] proven (courier)
  18h 10m ANT Mercury Sentinel [OTH-  Out Energy Cells       7,600    15.85     120,460  —                                       [?] unknown
  18h 19m EIY-744                     Out Graphene             410   163.71      67,121  TEL Hull Part Factory I (HNB-704)       [v] proven (courier)
  18h 34m ANT Ides Sentinel [UYP-519  Out Energy Cells       8,880    15.07     133,822  —                                       [?] unknown
  18h 36m ARG Mercury Vanguard [HCH-  Out Refined Metals       423   122.30      51,733  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  18h 37m EIY-744                     Out Refined Metals       585   127.94      74,845  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  18h 38m AOL-503                     Out Energy Cells       1,760    19.00      33,440  TEL Hull Part Factory I (OWV-766)       [v] proven (courier)
  18h 38m ANT Mercury Sentinel [BBG-  Out Energy Cells         640    16.09      10,298  —                                       [?] unknown
  18h 38m NDX-352                     Out Hull Parts           588   183.60     107,957  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  18h 39m ARG Ides Vanguard [BKO-352  Out Energy Cells       2,720    15.71      42,731  —                                       [?] unknown
  18h 50m NDX-352                     Out Hull Parts           493   201.71      99,443  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  18h 52m EIY-744                     Out Graphene             410   187.02      76,678  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  19h 04m EIY-744                     Out Graphene             410   190.13      77,953  TEL Hull Part Factory II (GLO-475)      [v] proven (courier)
  19h 07m ARG Mercury Vanguard [LCB-  Out Energy Cells       8,200    15.75     129,150  —                                       [?] unknown
  19h 12m AOL-503                     Out Energy Cells       1,080    21.80      23,544  ARG Advanced Electronics Factory I (HE  [v] proven (courier)
  19h 14m ARG Mercury Vanguard [URC-  Out Hull Parts           683   146.93     100,353  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  19h 24m EIY-744                     Out Refined Metals        72   204.50      14,724  ANT Hull Part Factory II (WFF-475)      [v] proven (courier)
  19h 33m ARG Mercury Vanguard [HCH-  Out Refined Metals       160   142.85      22,856  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  19h 38m AOL-503                     Out Refined Metals       424   127.94      54,247  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  19h 43m ARG Ides Vanguard [IKQ-113  Out Energy Cells       7,400    15.45     114,330  —                                       [?] unknown
  19h 43m SOB-066                     Out Energy Cells       4,960    20.08      99,597  —                                       [?] unknown
  19h 49m EIY-744                     Out Hull Parts           588   203.05     119,393  ARG Argon Shipyard (RIR-109)            [v] proven (courier)
  20h 00m AOL-503                     Out Graphene             604   195.93     118,342  TEL Hull Part Factory I (AKM-356)       [v] proven (courier)
  20h 05m ANT Mercury Vanguard [IZP-  Out Refined Metals       336   128.88      43,304  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  20h 09m ARG Mercury Vanguard [EPV-  Out Energy Cells       8,200    15.39     126,198  —                                       [?] unknown
  20h 09m EIY-744                     Out Graphene             410   163.00      66,830  ANT Quantum Tube Factory I (GFZ-735)    [v] proven (courier)
  20h 19m AOL-503                     Out Hull Parts           588   189.10     111,191  TEL (MTO-545)                           [v] proven (courier)
  20h 21m ARG Mercury Sentinel [ULK-  Out Energy Cells       5,418    15.09      81,758  —                                       [?] unknown
  20h 28m EIY-744                     Out Energy Cells       3,000    15.98      47,940  TEL Medical Supply Factory I (WXJ-102)  [v] proven (courier)
  20h 29m ARG Mercury Vanguard [HCH-  Out Refined Metals       248   135.79      33,676  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  20h 43m AOL-503                     Out Refined Metals       144   199.42      28,716  ANT Hull Part Factory II (WFF-475)      [v] proven (courier)
  20h 45m ARG Mercury Vanguard [HCH-  Out Refined Metals       336   128.88      43,304  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  20h 46m EIY-744                     Out Graphene             410   179.01      73,394  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  20h 52m ANT Ides Sentinel [UYP-519  Out Energy Cells       8,000    15.60     124,800  —                                       [?] unknown
  20h 55m TEL Vulture Sentinel [PJE-  Out Energy Cells       6,800    15.03     102,204  —                                       [?] unknown
  21h 02m EIY-744                     Out Energy Cells       1,504    19.38      29,148  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  21h 04m ARG Mercury Vanguard [GJU-  Out Hull Parts           588   183.60     107,957  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  21h 10m AOL-503                     Out Graphene             584   188.16     109,885  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  21h 16m NDX-352                     Out Hull Parts           588   183.60     107,957  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  21h 19m ARG Mercury Vanguard [LON-  Out Refined Metals       160   142.85      22,856  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  21h 20m SCA-769                     Out Refined Metals        88   148.68      13,084  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  21h 23m EIY-744                     Out Graphene             410   188.65      77,346  TEL Hull Part Factory I (HNB-704)       [v] proven (courier)
  21h 35m AOL-503                     Out Refined Metals        88   211.09      18,576  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  21h 35m ARG Ides Vanguard [GCE-278  Out Energy Cells       7,400    15.73     116,402  —                                       [?] unknown
  21h 38m ARG Mercury Vanguard [HCH-  Out Refined Metals       336   128.88      43,304  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  21h 39m EIY-744                     Out Graphene             147   189.34      27,833  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  21h 47m YMY-003                     Out Refined Metals       160   142.85      22,856  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  21h 48m EIY-744                     Out Graphene             210   181.83      38,184  ARG Quantum Tube Factory I (VAP-756)    [v] proven (courier)
